Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Labeled Extract Name	Label	Assay Name	Technology Type	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	Derived Array Data File	FactorValue [CELL TYPE]	Term Source REF	Term Accession Number
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017241	SRR017241	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017241/SRR017241.fastq	GSM406415_Jurkat_exonjunctions_eland_result.txt	T cell	EFO	EFO_0000208
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017241	SRR017241	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017241/SRR017241.fastq	GSM406415_Jurkat_eland_result.txt	T cell	EFO	EFO_0000208
GSM406414 1	RNA-seq	CD4+ T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606				CD4+ T cell			P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406414 extract 1	polyA RNA	GSM406414 LE 1	1	GSM406414	assay	SRX005317	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017233	SRR017233	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017233/SRR017233.fastq	GSM406414_CD4_eland_result.txt	CD4+ T cell		
GSM406414 1	RNA-seq	CD4+ T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606				CD4+ T cell			P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406414 extract 1	polyA RNA	GSM406414 LE 1	1	GSM406414	assay	SRX005317	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017233	SRR017233	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017233/SRR017233.fastq	GSM406414_CD4_exonjunctions_eland_result.txt	CD4+ T cell		
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017248	SRR017248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017248/SRR017248.fastq		T cell	EFO	EFO_0000208
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017247	SRR017247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017247/SRR017247.fastq		T cell	EFO	EFO_0000208
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017246	SRR017246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017246/SRR017246.fastq		T cell	EFO	EFO_0000208
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017245	SRR017245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017245/SRR017245.fastq		T cell	EFO	EFO_0000208
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017244	SRR017244	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017244/SRR017244.fastq		T cell	EFO	EFO_0000208
GSM406415 1	RNA-seq	Jurkat T cell mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Jurkat	EFO	EFO_0002796	T cell	EFO	EFO_0000208	P-GSE16190-1		P-GSE16190-2		P-GSE16190-3		GSM406415 extract 1	polyA RNA	GSM406415 LE 1	1	GSM406415	assay	SRX005318	Illumina Genome Analyzer II (Homo sapiens)	P-GSE16190-4		SRR017243	SRR017243	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR017/SRR017243/SRR017243.fastq		T cell	EFO	EFO_0000208
